Usuario,Artista 1,Artista 2,Artista 3,Artista 4,Artista 5,Artista 6,Artista 7,Artista 8,Artista 9,Artista 10,Artista 11,Artista 12,Artista 13,Artista 14,Artista 15,Artista 16,Artista 17,Artista 18,Artista 19,Artista 20,Artista 21,Artista 22,Artista 23,Artista 24,Artista 25,Artista 26,Artista 27,Artista 28,Artista 29,Artista 30
SaggySac69,Kendrick Lamar,Kanye West,Travi$ Scott,Metro Boomin,Drake,Bob Marley & The Wailers,Sleepy Hallow,Lil Tecca,JAY-Z,Lil Baby,Baby Keem,J. Cole,YoungBoy Never Broke Again,midwxst,ScHoolboy Q,Eminem,Rae Sremmurd,Post Malone,Pop Smoke,2Pac,Jack Harlow,SPL,Nas,Gunna,Lil Tjay,Young Thug,21 Savage,Shordie Shordie,Lil Durk,The Game
OrangeJush,Kendrick Lamar,Frank Ocean,Kanye West,Daniel Caesar,Travi$ Scott,"Tyler, the Creator",Baby Keem,JID,Green Day,Drake,結束バンド,J. Cole,Playboi Carti,21 Savage,Tame Impala,Future,Steve Lacy,Kid Cudi,Anderson .Paak,A$AP Rocky,Metallica,JPEGMAFIA,Childish Gambino,KIDS SEE GHOSTS,MF DOOM,The Weeknd,Jay Rock,Earl Sweatshirt,Don Toliver,Metro Boomin
imbaji,Kendrick Lamar,Baby Keem,XXXTENTACION,Logic,J. Cole,"Tyler, the Creator",Gorillaz,Trippie Redd,Juice WRLD,$uicideboy$,Joji,Kanye West,Frank Ocean,Steve Lacy,Playboi Carti,$NOT,Lil Uzi Vert,Lil Skies,d4vd,Brent Faiyaz,Ski Mask the Slump God,Childish Gambino,21 Savage,Mac Miller,Jay Rock,Tame Impala,2Pac,TV Girl,Post Malone,Mac DeMarco
Harami44,Kendrick Lamar,Future,Travi$ Scott,Kanye West,Juice WRLD,Eminem,J. Cole,Nas,Logic,Metro Boomin,The Notorious B.I.G.,Joji,Jimi Hendrix,Lil' Wayne,Bob Dylan,Pink Floyd,The Rolling Stones,Led Zeppelin,The Beatles,2Pac,OutKast,Bruno Mars,21 Savage,RADWIMPS,Tame Impala,The Weeknd,"Tyler, the Creator",Frank Sinatra,Sidhu Moose Wala,鷺巣詩郎
resfrios,Kendrick Lamar,BROCKHAMPTON,Lil Darkie,Gustavo Cerati,Fishmans,Frank Ocean,Portishead,Death Grips,Mr. Bungle,Lamp,clipping.,Masafumi Takada,PinkPantheress,100 gecs,Travi$ Scott,Deftones,青葉市子,Akira Yamaoka,Toby Fox,Shoji Meguro,Kanye West,Pink Floyd,Ecco2K,Panchiko,Radiohead,A Tribe Called Quest,Linkin Park,Blonde Redhead,Tool,Sewerslvt
xJuvs,Kendrick Lamar,Kanye West,MF DOOM,Max Coveri,Edo Boys,Dave Rodgers,JAY-Z,Thundercat,Wain L,Future,Freddie Gibbs,Playboi Carti,XXXTENTACION,The Spiders from Mars,Madvillain,Nas,"Tyler, the Creator",Mako,Drake,Chief Keef,The Weeknd,Leslie Parrish,Young Thug,2Pac,Azealia Banks,The Atrium,m.o.v.e,Mr Groove,Kid Cudi,OutKast
BreadPitt951,Kendrick Lamar,TileKid,e11ander,Future,esgobar,YoungBoy Never Broke Again,zerobase,Juganza,Nardo Wick,Murkish,Drake,King Von,Playboi Carti,Polo G,Lil Uzi Vert,Baby kia,Yeat,J. Cole,Lil Baby,Rx Papi,Gucci Mane,Young Dolph,Meek Mill,Lil Durk,21 Savage,Baby Keem,Lil Gnar,Paper Route Empire,XXXTENTACION,808 DEAD
Ixhn,Frank Ocean,Playboi Carti,"Tyler, the Creator",Trippie Redd,XXXTENTACION,Metro Boomin,MF DOOM,KSI,Mobb Deep,Kanye West,Big Time Rush,Lana Del Rey,Kendrick Lamar,Logan Henderson,Don Toliver,Dave Porter,Offset,Joji,Deftones,EI8HT,Tom Petty,Juice WRLD,Yung Lean,YG,Night Lovell,A$AP Rocky,$uicideboy$,AC/DC,DVRST,Lil Peep
DanielNoite,Kendrick Lamar,Mac Miller,Linkin Park,Bring Me the Horizon,Joji,Wos,Post Malone,JID,Baby Keem,J. Cole,Metro Boomin,Childish Gambino,Rise Against,21 Savage,Drake,Travi$ Scott,Eminem,結束バンド,Trueno,XXXTENTACION,Paulo Londra,ASIAN KUNG-FU GENERATION,Duki,Dayglow,Kanye West,twenty one pilots,Antenna,Coldplay,Bizarrap,My Chemical Romance
Danny_Top23,Kanye West,Travi$ Scott,Playboi Carti,Kendrick Lamar,Eminem,Future,Ken Carson,Juice WRLD,Yeat,21 Savage,YoungBoy Never Broke Again,Lil Uzi Vert,Frank Ocean,XXXTENTACION,Baby Keem,Billie Eilish,Drake,Destroy Lonely,¥$,Young Thug,Lucky Twice,Nardo Wick,Summer Walker,Lil Tjay,Chief Keef,DaBaby,Trippie Redd,Lil Baby,Metro Boomin,Offset
Perseus1000,Kendrick Lamar,Kanye West,Your Stepdad,Brent Faiyaz,Lil Baby,Drake,Metro Boomin,Travi$ Scott,Gunna,Future,Young Stoner Life,21 Savage,Frank Ocean,Cae Cartier,Lil Durk,Jdot Breezy,Only The Family,Young Thug,J. Cole,Lil' Wayne,JAY-Z,Polo G,Rod Wave,DJ Khaled,Meek Mill,The Weeknd,H.E.R.,Joyner Lucas,Gucci Mane,The Neighbourhood
olejnvk,Kendrick Lamar,Kanye West,Drake,"Tyler, the Creator",Taco Hemingway,The Weeknd,Destroy Lonely,Playboi Carti,PRO8L3M,Travi$ Scott,J. Cole,21 Savage,Lordofon,Homixide Gang,Lana Del Rey,Ken Carson,Mac Miller,JAY-Z,Yeat,Baby Keem,Kukon,Eminem,The Neighbourhood,ScHoolboy Q,Otsochodzi,Jay Rock,Fukaj,schafter,Steve Lacy,TACONAFIDE
